id,alias,name,image_url,is_closed,url,review_count,categories,rating,price,location,distance,area_code,phone_number,latitude,longitude,delivery,pickup,restaurant_reservation
EwrAoy7XbX8nfemZdDvupA,cornelly-seattle,Cornelly,https://s3-media4.fl.yelpcdn.com/bphoto/HlYYBTxylVQf6C-WZy-Ghw/o.jpg,False,https://www.yelp.com/biz/cornelly-seattle?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,110,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}]",4.5,$$,"{'address1': '601 Summit Ave E', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98102', 'country': 'US', 'state': 'WA', 'display_address': ['601 Summit Ave E', 'Seattle, WA 98102']}",2578.701392645466,,,47.624577,-122.325577,True,True,False
fxyHWmfzcdjImgQ_UYHoTw,bar-cotto-seattle,Bar Cotto,https://s3-media3.fl.yelpcdn.com/bphoto/07DoPFljyge3LApw8qW-cg/o.jpg,False,https://www.yelp.com/biz/bar-cotto-seattle?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,355,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,$$,"{'address1': '1546 15th Ave', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['1546 15th Ave', 'Seattle, WA 98122']}",1292.526796461093,206,838-8081,47.6146934,-122.3127642,True,True,False
Wi6LFkjIausYj277ru6pqg,humble-pie-seattle,Humble Pie,https://s3-media4.fl.yelpcdn.com/bphoto/A08GOZ76GAAH6Sm_0_YAeQ/o.jpg,False,https://www.yelp.com/biz/humble-pie-seattle?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,369,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,$$,"{'address1': '525 Rainier Ave S', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98144', 'country': 'US', 'state': 'WA', 'display_address': ['525 Rainier Ave S', 'Seattle, WA 98144']}",2166.834011449786,206,329-5133,47.5976491915013,-122.313305988361,True,False,False
t-Z9bvmlgUyDtomGmttrUQ,guerilla-pizza-kitchen-seattle,Guerilla Pizza Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/uMrdEjc9J_4Tb1PtAb71UA/o.jpg,False,https://www.yelp.com/biz/guerilla-pizza-kitchen-seattle?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,1,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'popuprestaurants', 'title': 'Pop-Up Restaurants'}]",5.0,,"{'address1': '2300 E Cherry St', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['2300 E Cherry St', 'Seattle, WA 98122']}",749.1731129459927,,,47.608127,-122.302435,False,False,False
M9xzvwgK58T0w7wvXedvuQ,hot-mamas-pizza-seattle,Hot Mama's Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/LEL1qjUtdXO8aUPV9U-WwQ/o.jpg,False,https://www.yelp.com/biz/hot-mamas-pizza-seattle?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,969,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,$,"{'address1': '700 E Pine St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['700 E Pine St', 'Seattle, WA 98122']}",2080.359405276959,206,322-6444,47.615379179632,-122.32323073437,True,True,False
ugTsEtjvwRhteac_6JcuPw,italian-family-pizza-seattle,Italian Family Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/-aZrUuV6RAY4u3mgJgB4gA/o.jpg,False,https://www.yelp.com/biz/italian-family-pizza-seattle?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,1009,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,$$,"{'address1': '1028 Madison St', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98104', 'country': 'US', 'state': 'WA', 'display_address': ['1028 Madison St', 'Seattle, WA 98104']}",2271.307105309817,206,538-0040,47.60937,-122.32546,True,True,False
IrohtoYjnAR_vc6w6CRCxA,moto-seattle,Moto,https://s3-media2.fl.yelpcdn.com/bphoto/RA8N1Bv29ZPpYbL6wfnu7Q/o.jpg,False,https://www.yelp.com/biz/moto-seattle?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,164,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.5,$$,"{'address1': '4526 42nd Ave SW', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4526 42nd Ave SW', 'Seattle, WA 98116']}",8784.07572205985,206,420-8880,47.56207,-122.38509,True,False,False
-FOAQv22SXtSBs7nptI3UA,serious-pie-downtown-seattle-2,Serious Pie Downtown,https://s3-media1.fl.yelpcdn.com/bphoto/Yge-XaZ4E-Q3SAXKaWr4nQ/o.jpg,False,https://www.yelp.com/biz/serious-pie-downtown-seattle-2?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,4512,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,$$,"{'address1': '2001 4th Ave', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98121', 'country': 'US', 'state': 'WA', 'display_address': ['2001 4th Ave', 'Seattle, WA 98121']}",3348.3092758278417,206,838-7388,47.61304626911818,-122.34035259077139,True,True,False
GJdmwqqkC0nAQfX1qZM3ew,olympia-pizza-and-spaghetti-house-iii-seattle,Olympia Pizza and Spaghetti House III,https://s3-media1.fl.yelpcdn.com/bphoto/KvTgMAozPm_HQGaBsfGELQ/o.jpg,False,https://www.yelp.com/biz/olympia-pizza-and-spaghetti-house-iii-seattle?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,299,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,$$,"{'address1': '516 15th Ave E', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98112', 'country': 'US', 'state': 'WA', 'display_address': ['516 15th Ave E', 'Seattle, WA 98112']}",1732.8743834241322,206,329-4500,47.62383,-122.312445,True,False,False
k3riaoflafifFUSNKXbfTw,via-tribunali-capitol-hill-seattle,Via Tribunali - Capitol Hill,https://s3-media1.fl.yelpcdn.com/bphoto/RmJFyrZyd3kZrNljPJS5gQ/o.jpg,False,https://www.yelp.com/biz/via-tribunali-capitol-hill-seattle?adjust_creative=M_n_c0bs2T-9fpMzepv-5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M_n_c0bs2T-9fpMzepv-5g,629,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,$$,"{'address1': '913 E Pike St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['913 E Pike St', 'Seattle, WA 98122']}",1818.62917862738,206,322-9234,47.61386,-122.31986,True,True,False
